sequence_item,is_pitch,is_strike,is_in_play,can_be_strike_three,is_swing,is_contact,category
PickoffAttemptFirst,false,false,false,false,false,false,NoPitch
PickoffAttemptSecond,false,false,false,false,false,false,NoPitch
PickoffAttemptThird,false,false,false,false,false,false,NoPitch
PlayNotInvolvingBatter,false,false,false,false,false,false,NoPitch
Ball,true,false,false,false,false,false,Ball
CalledStrike,true,true,false,true,false,false,Strike
Foul,true,true,false,false,true,true,Strike
HitBatter,true,false,false,false,false,false,Ball
IntentionalBall,true,false,false,false,false,false,Ball
StrikeUnknownType,true,true,false,true,false,false,Strike
FoulBunt,true,true,false,true,true,true,Strike
MissedBunt,true,true,false,true,true,false,Strike
NoPitch,false,false,false,false,false,false,NoPitch
FoulTipBunt,true,true,false,true,true,false,Strike
Pitchout,true,false,false,false,false,false,Ball
SwingingOnPitchout,true,true,false,true,true,false,Strike
FoulOnPitchout,true,true,false,false,true,true,Strike
SwingingStrike,true,true,false,true,true,false,Strike
FoulTip,true,true,false,true,true,false,Strike
AutomaticBall,true,false,false,false,false,false,Ball
InPlay,true,true,true,false,true,true,InPlay
InPlayOnPitchout,true,true,true,false,true,true,InPlay
Unrecognized,false,false,false,false,false,false,NoPitch
Unknown,true,false,false,false,false,false,Unknown
