plate_appearance_result,result_category,is_at_bat,is_on_base_opportunity,is_on_base_success,is_batting_out,is_batted,is_hit,is_in_play,total_bases
InPlayOut,InPlayOut,true,true,false,true,true,false,true,0
StrikeOut,StrikeOut,true,true,false,true,false,false,false,0
ReachedOnError,ReachedOnError,true,true,false,true,true,false,true,0
FieldersChoice,InPlayOut,true,true,false,true,true,false,true,0
SacrificeFly,SacrificeFly,false,true,false,true,true,false,true,0
SacrificeHit,SacrificeHit,false,false,false,true,true,false,true,0
Walk,Walk,false,true,true,false,false,false,false,0
HitByPitch,HitByPitch,false,true,true,false,false,false,false,0
IntentionalWalk,IntentionalWalk,false,true,true,false,false,false,false,0
Interference,ReachedOnError,false,false,false,false,false,false,false,0
Single,Single,true,true,true,false,true,true,true,1
Double,Double,true,true,true,false,true,true,true,2
GroundRuleDouble,Double,true,true,true,false,true,true,true,2
Triple,Triple,true,true,true,false,true,true,true,3
HomeRun,HomeRun,true,true,true,false,true,true,false,4
InsideTheParkHomeRun,HomeRun,true,true,true,false,true,true,true,4
