outfield_position,infield_position,batter_hand,split_era,blame
7,5,L,False,0.63
7,6,L,False,0.35
7,1,L,False,0.02
8,6,L,False,0.36
8,4,L,False,0.61
8,5,L,False,0.01
8,1,L,False,0.02
9,4,L,False,0.41
9,3,L,False,0.57
9,1,L,False,0.02
7,5,R,False,0.70
7,6,R,False,0.29
7,1,R,False,0.01
8,6,R,False,0.66
8,4,R,False,0.31
8,1,R,False,0.01
8,5,R,False,0.02
9,4,R,False,0.46
9,3,R,False,0.49
9,1,R,False,0.04
9,6,R,False,0.01
7,5,L,True,0.67
7,6,L,True,0.30
7,1,L,True,0.03
8,6,L,True,0.47
8,4,L,True,0.31
8,5,L,True,0.16
8,1,L,True,0.06
9,4,L,True,0.46
9,3,L,True,0.40
9,6,L,True,0.09
9,1,L,True,0.03
9,5,L,True,0.02
7,5,R,True,0.67
7,6,R,True,0.30
7,4,R,True,0.02
7,1,R,True,0.01
8,6,R,True,0.56
8,4,R,True,0.35
8,5,R,True,0.03
8,3,R,True,0.01
8,1,R,True,0.05
9,4,R,True,0.43
9,3,R,True,0.50
9,6,R,True,0.01
9,1,R,True,0.06
