general_location,angle,theta_start,theta_end
Catcher,Right,23,45
Catcher,Left,-45,-23
Catcher,Foul,46,314
Catcher,Default,-45,45
CatcherFirst,Foul,46,105
CatcherFirst,Default,23,45
CatcherThird,Foul,-105,-46
CatcherThird,Default,23,45
Pitcher,Default,-10,11
PitcherFirst,Default,12,23
PitcherThird,Default,-22,-11
First,FoulLine,40,45
First,Foul,46,90
First,Default,34,45
FirstSecond,Default,23,33
Second,Middle,1,11
Second,Default,12,22
SecondShortstop,Default,-10,11
Shortstop,Middle,-10,0
Shortstop,Default,-22,-11
Third,FoulLine,-45,-40
Third,Foul,-90,-46
Third,Default,-45,-34
ThirdShortstop,Default,-33,-23
Center,Right,1,11
Center,Left,-11,0
Center,Default,-11,11
Left,Middle,-33,-23
Left,FoulLine,-45,-34
Left,Default,-33,-23
LeftCenter,Middle,-22,-11
LeftCenter,Default,-22,-11
Right,Middle,23,33
Right,FoulLine,34,45
Right,Default,23,33
RightCenter,Middle,12,23
RightCenter,Default,12,23
