batted_location_general,category_depth,category_side,category_edge,is_mid_position
Catcher,Battery,All,All,false
CatcherFirst,Battery,Right,Right,true
CatcherThird,Battery,Left,Left,true
Pitcher,Infield,Middle,Middle,false
PitcherFirst,Infield,Middle,Right,true
PitcherThird,Infield,Middle,Left,true
First,Infield,Right,Right,false
FirstSecond,Infield,Right,Middle,true
Second,Infield,Middle,Middle,false
SecondShortstop,Infield,Middle,Middle,true
Shortstop,Infield,Middle,Middle,false
Third,Infield,Left,Left,false
ThirdShortstop,Infield,Left,Middle,true
Center,Outfield,Middle,Middle,false
Left,Outfield,Left,Left,false
LeftCenter,Outfield,Left,Middle,true
Right,Outfield,Right,Right,false
RightCenter,Outfield,Right,Middle,true
