name,abbreviation,is_batting,is_pitching,is_fielding
at_bats,AB,true,false,false
runs,R,true,true,false
hits,H,true,true,false
doubles,2B,true,true,false
triples,3B,true,true,false
home_runs,HR,true,true,false
runs_batted_in,RBI,true,false,false
sacrifice_hits,SH,true,true,false
sacrifice_flies,SF,true,true,false
hit_by_pitch,HBP,true,true,false
walks,BB,true,true,false
intentional_walks,IBB,true,true,false
strikeouts,K,true,true,false
stolen_bases,SB,true,false,true
caught_stealing,CS,true,false,true
grounded_into_double_plays,GIDP,true,false,false
reached_on_interference,INT,true,false,true
left_on_base,LOB,true,false,false
innings_pitched,IP,false,true,false
batters_faced,BFP,false,true,false
earned_runs,ER,false,true,false
wild_pitches,WP,false,true,false
balks,BK,false,true,false
innings_played,IP,false,false,true
putouts,PO,false,false,true
assists,A,false,false,true
errors,E,false,false,true
double_plays,DP,false,false,true
triple_plays,TP,false,false,true
passed_balls,PB,false,false,true
